Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity
75,113,99.3050847457627,2,6.03483609971131,19.6875,15.3118379228814,903.39843745,Walking Dog Walking
92,125,112.296703296703,-3,8.05265459142968,19.85546875,10.9948059742857,1000.52734366,Walking Dog Walking
58,78,67.95,-10,8.15693782820619,19.6875,11.9646809885,717.88085931,Walking Dog Walking
106,166,141.816666666667,46,5.5681868104554,30.97851562,15.667968748,940.07812488,Walking Dog Walking
86,117,106.032786885246,17,7.16988484871276,18.6484375,12.5198834516393,763.71289055,Walking Dog Walking
63,121,98.5070422535211,-35,7.7310883007584,19.01171875,12.3443827016901,876.45117182,Walking Dog Walking
55,115,96.95,34,7.01194037798458,18.890625,13.1896158833333,791.376953,Walking Dog Walking
50,109,88.0645161290323,-55,6.21221934371823,15.08203125,5.07907006,157.45117186,Walking Dog Walking
65,115,93.7666666666667,-46,7.50926057899695,17.51953125,5.174414062,155.23242186,Walking Dog Walking
97,146,113.046511627907,23,9.07060577624805,28.42382812,10.9784702018605,472.07421868,Walking Dog Walking
76,114,94.344262295082,15,5.55011367630115,26.11914062,14.2477266890164,869.11132803,Walking Dog Walking
61,114,87.4708333333333,8,8.56513206897441,34.8046875,5.8043863925,1393.0527342,Walking Dog Walking
62,114,97.8222222222222,-10,5.61848643061684,20.3203125,14.4935763873333,1304.42187486,Walking Dog Walking
54,91,66.2244897959184,-11,0,0,0,0,Walking Dog Walking
74,157,109.283333333333,-1,7.48195302397017,19.1328125,12.5866326784746,742.61132803,Walking Dog Walking
78,120,103.444444444444,2,7.2745627627826,18.5625,13.0128038187037,702.69140621,Walking Dog Walking
74,115,96.1694915254237,33,7.15688517779636,20.234375,13.0246834575862,755.43164054,Walking Dog Walking
58,129,90.8936170212766,71,8.21573178148044,18.95117187,11.5745096397872,544.00195307,Walking Dog Walking
55,109,87.4081632653061,44,4.88968442581642,20.38671875,14.4251833532653,706.83398431,Walking Dog Walking
62,150,104,-27,3.44970967308539,15.99609375,12.1172743036667,1090.55468733,Walking Dog Walking
68,122,97.3333333333333,29,7.19978167318054,18.5625,13.2021846046296,712.91796865,Walking Dog Walking
69,133,107.433333333333,-3,6.43257656459413,18.40625,14.0649739565,843.89843739,Walking Dog Walking
77,106,95.1041666666667,-11,7.48250057587349,19.48242187,9.16658528541667,439.9960937,Walking Dog Walking
62,124,82.4098360655738,-36,6.96110872125442,17.40234375,3.93016777622951,239.74023435,Walking Dog Walking
60,157,115.868852459016,75,7.62426219235859,18.45703125,12.4592405209836,760.01367178,Walking Dog Walking
65,124,87.7049180327869,55,8.10749141788847,25.01953125,10.0876664952459,615.34765621,Walking Dog Walking
67,109,92.7166666666667,-5,6.20777436011178,19.07226562,13.6948242171667,821.68945303,Walking Dog Walking
70,159,115.762711864407,70,11.7740349886133,37.52929687,16.0094676894915,944.55859368,Walking Dog Walking
61,99,77.1935483870968,23,6.7075672737394,20.30273437,13.0162550390323,403.50390621,Walking Dog Walking
72,101,88.2142857142857,9,7.69476732565075,17.98242187,7.80385044523809,327.7617187,Walking Dog Walking
79,161,117.677966101695,52,6.90365630445127,18.70898437,13.1203323605085,774.09960927,Walking Dog Walking
58,123,91.7179487179487,60,6.91719121651985,19.07226562,10.7665501636842,409.12890622,Walking Dog Walking
66,124,102.203389830508,-16,6.5745927588993,18.890625,13.8803297120339,818.93945301,Walking Dog Walking
50,109,82.6440677966102,43,7.72067618885358,19.14257812,8.15648172610169,481.23242184,Walking Dog Walking
56,108,83.0533333333333,38,7.86584948086119,19.72265625,5.99438142054794,437.5898437,Walking Dog Walking
71,157,118.911111111111,-42,7.14481113532966,18.45703125,11.9743923602222,1077.69531242,Walking Dog Walking
68,89,74.8032786885246,13,6.36584612038293,19.078125,3.11561859590164,190.05273435,Walking Dog Walking
120,170,155.213114754098,19,10.3176127169751,37.41796875,28.6426741786885,1747.2031249,Walking Dog Walking
52,68,57.5888888888889,1,0,0,0,0,Walking Dog Walking
80,128,112.881355932203,-18,9.28138650603127,36.20703125,14.21467823,838.66601557,Walking Dog Walking
69,151,104.05,43,8.41722941395251,19.07226562,11.1127515877966,655.65234368,Walking Dog Walking
82,138,123.762711864407,24,2.84005252114962,16.61132812,14.1064789848276,818.17578112,Walking Dog Walking
63,121,103.573770491803,10,7.77004234244538,18.515625,11.1217341180328,678.4257812,Walking Dog Walking
68,114,100.491803278689,14,5.50629107559892,19.01171875,14.296940103,857.81640618,Walking Dog Walking
62,113,86.75,36,8.99570149855381,30.7734375,9.52639431333333,685.90039056,Walking Dog Walking
73,123,104.56043956044,43,6.70525442526087,34.22460937,14.1041380481319,1283.47656238,Walking Dog Walking
70,109,85.1111111111111,-31,4.63422623716097,17.98242187,1.46459960888889,105.45117184,Walking Dog Walking
63,102,83.5666666666667,38,6.83505560536689,17.63671875,6.37975260366667,191.39257811,Walking Dog Walking
65,116,78.0930232558139,-46,0.00774406802470259,0.05078125,0.00118095930232558,0.05078125,Walking Dog Walking
61,102,85.2542372881356,28,7.37145436777557,19.14257812,11.1507547655932,657.89453117,Walking Dog Walking
87,139,111.45,-33,3.91428746133102,18.45703125,15.25517578,915.3105468,Walking Dog Walking
78,151,132.608938547486,-33,1.93899020964779,21.05078125,18.82544359,3332.10351543,Walking Dog Walking
108,141,128.715083798883,19,2.05405448829142,22.21875,20.4118802365922,3653.72656235,Walking Dog Walking
99,136,119.397790055249,-21,7.31104396234364,19.85546875,4.78758416734807,866.55273429,Walking Dog Walking
80,136,122.828571428571,51,4.63944458935394,22.21875,18.5935537517225,3886.05273411,Walking Dog Walking
104,161,127.019867549669,0,5.05315349533486,21.39648437,17.2193449904636,2600.12109356,Walking Dog Walking
76,170,124.428571428571,39,4.8795323275166,21.6015625,17.5765456775598,3673.49804661,Walking Dog Walking
101,171,132.208053691275,60,2.27946614789177,20.91796875,18.2930080728188,2725.65820285,Walking Dog Walking
77,141,116.838888888889,33,5.96889244888639,21.05078125,16.2170260111173,2902.84765599,Walking Dog Walking
113,136,124.129770992366,10,5.42907417346992,20.91796875,17.0472179132061,2233.18554663,Walking Dog Walking
77,132,118.778523489933,21,1.00879104505497,21.6015625,19.5724098142282,2916.28906232,Walking Dog Walking
63,178,128.919047619048,111,4.3375269532816,22.69140625,18.8171164760766,3932.7773435,Walking Dog Walking
74,126,112.422222222222,44,6.58585841633159,20.3671875,15.3685950578212,2750.97851535,Walking Dog Walking
79,121,105.177777777778,19,8.72733736022468,22.76367187,8.37508728972067,1499.14062486,Walking Dog Walking
80,131,110.945606694561,25,4.99413935922257,23.94335937,1.72162656870293,411.46874992,Walking Dog Walking
81,141,101.688888888889,-47,6.88476845438111,29.4765625,3.11317274272222,560.37109369,Walking Dog Walking
73,116,98.2453531598513,27,6.24519174866626,21.46289062,2.77577687701493,743.90820304,Walking Dog Walking
78,128,104.739130434783,13,9.34577407398565,22.21875,9.35456071763158,1066.41992181,Walking Dog Walking
64,130,106.611111111111,-20,3.30779298980604,20.0546875,0.784076029944134,140.34960936,Walking Dog Walking
59,136,94.6171003717472,34,5.66266731136485,18.890625,2.31421262794776,620.20898429,Walking Dog Walking
77,123,102.61,12,3.81629758014517,21.390625,0.967770171337793,289.36328123,Walking Dog Walking
62,130,87.9501385041551,-7,7.305065494893,28.328125,3.55236545102778,1278.85156237,Walking Dog Walking
93,125,109.008333333333,-2,6.31302398405489,21.39648437,2.50922851525,301.10742183,Walking Dog Walking
74,111,91.4367816091954,12,7.24670956184474,20.8515625,3.8278879149711,662.22460929,Walking Dog Walking
77,122,102.456953642384,28,8.21009123962141,21.0546875,5.31015624933333,796.5234374,Walking Dog Walking
75,139,102.055555555556,-26,5.355503994536,21.46289062,1.533832465,138.04492185,Walking Dog Walking
71,131,105.675,-6,9.17171688555381,22.69140625,7.57695968941176,901.65820304,Walking Dog Walking
83,116,98.2809917355372,6,5.4406298392567,19.078125,2.26102466413223,273.58398436,Walking Dog Walking
57,136,80.2,-1,3.37618910708067,19.1328125,0.799218749944444,143.85937499,Walking Dog Walking
64,117,80.5722222222222,4,1.39983480691944,15.234375,0.147218836991643,52.85156248,Walking Dog Walking
70,126,93.8504155124654,13,5.3781111861594,28.80664062,1.84563802063889,664.42968743,Walking Dog Walking
73,180,128.319672131148,30,8.00970068002535,40.56445312,16.1024775244932,5877.40429644,Walking Dog Walking
69,121,95.087786259542,16,8.27766612996681,22.69921875,6.21488116570881,1622.08398425,Walking Dog Walking
62,109,86.1657142857143,-1,7.42850325026101,22.21875,3.80651715126437,662.33398432,Walking Dog Walking
68,119,86.7777777777778,2,5.66963247550484,21.65625,2.11025354301115,567.65820307,Walking Dog Walking
78,138,118.802973977695,18,8.69529896247069,23.91796875,15.6327471530483,4205.20898417,Walking Dog Walking
93,117,103,-23,0,0,0,0,Walking Dog Walking
69,118,96.1777777777778,26,7.23210625254699,23.37890625,4.41120373558659,789.60546867,Walking Dog Walking
70,156,137.399168399168,-53,6.93444819739726,25.1015625,18.7577391042589,8984.95703094,Walking Dog Walking
77,156,129.116666666667,-30,9.13947245189323,27.84375,15.7937304133705,5669.9492184,Walking Dog Walking
80,120,97.1,27,7.11868266805474,21.12304687,3.94026692666667,709.2480468,Walking Dog Walking
71,130,110.866666666667,-36,1.05017040939425,12.22265625,0.0908747676208178,24.44531249,Walking Dog Walking
108,147,129.428571428571,12,10.3148594870604,30.265625,14.4906118689916,1724.38281241,Walking Dog Walking
79,140,108.180555555556,-41,9.74054276174244,22.47460937,11.7948043253241,2547.67773427,Walking Dog Walking
50,146,114.805157593123,27,8.85614609956199,27.4921875,14.8539913132665,5184.04296833,Walking Dog Walking
70,116,95.1866295264624,17,3.60530646471965,19.921875,0.924428247122905,330.94531247,Walking Dog Walking
64,120,90.6027777777778,0,7.54828729921402,22.19140625,4.84334196518106,1738.7597655,Walking Dog Walking
79,134,110.583333333333,-14,4.46953744316987,21.0234375,1.33217230888889,239.7910156,Walking Dog Walking
73,135,99.2785515320334,23,2.86177724988631,19.9375,0.497795914692737,178.21093746,Walking Dog Walking
52,146,105.437037037037,-57,5.28052474408859,32.33398437,1.99860905567317,2152.50195296,Walking Dog Walking
69,128,102.479108635097,8,7.43101961799033,22.21875,4.25017458061452,1521.56249986,Walking Dog Walking
69,148,99.0333333333333,-70,6.01622984855342,19.20703125,2.62214040057416,548.02734372,Walking Dog Walking
66,146,105.266666666667,28,5.12873472389082,20.37109375,1.79207107401114,1286.70703114,Walking Dog Walking
66,173,104.637037037037,6,6.5025798092491,21.328125,3.43572839171004,924.21093737,Walking Dog Walking
