Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity,Sedentary,ActivityCategorical
74,142,107.2753623,11,7.861639282,25.5234375,4.497126924,620.6035155,Interval,0,2
60,136,103.4661654,16,8.618893694,29.58398437,6.355175046,845.2382811,Interval,0,2
80,124,103.0071429,18,7.86796064,29.53125,4.551911272,637.2675781,Interval,0,2
68,139,107.043956,12,9.10651293,26.5390625,9.084232561,1644.246094,Aerobic,0,1
61,133,96.03289474,-29,8.639869223,27.26367187,8.162147922,1240.646484,Aerobic,0,1
83,145,117.2590674,4,9.536015298,27.9375,9.1997045,1775.542969,Aerobic,0,1
83,143,113.7142857,37,8.976038307,29.58398437,9.900757753,1316.800781,Aerobic,0,1
55,146,101.6906077,58,9.391193609,27.99804687,8.471853298,1524.933594,Aerobic,0,1
61,153,119.0384615,71,9.591269871,30.3671875,9.561673677,1740.224609,Aerobic,0,1
66,134,106.8666667,62,8.114060332,27.63085937,8.047927517,1448.626953,Aerobic,0,1
85,135,113.0463576,18,8.592639156,29.09960937,10.10809447,1526.322266,Aerobic,0,1
77,142,112.9602649,28,8.644730197,29.66796875,8.642125413,1304.960937,Aerobic,0,1
73,157,115.1279621,51,8.76114554,32.40039062,7.07971712,1493.820312,Aerobic,0,1
74,156,119.6090226,67,7.91197304,29.38085937,8.731731672,1161.320312,Aerobic,0,1
70,129,99.92666667,27,8.404967908,28.640625,9.576536457,1436.480469,Aerobic,0,1
83,148,117.0718232,29,8.365691848,28.7109375,5.233695182,947.298828,Interval,0,2
93,149,124.6859504,8,9.116056168,26.7265625,10.78223463,1304.65039,Interval,0,2
94,156,129.5666667,-23,9.145259977,29.19921875,7.80056966,936.0683592,Interval,0,2
71,152,110.1404959,28,9.320319215,27.81445312,9.119350464,1103.441406,Interval,0,2
73,143,101.3140496,-30,8.854312838,24.42382812,6.277698863,759.6015624,Interval,0,2
110,153,132.3196721,3,9.258202518,26.46875,10.57012039,1289.554687,Interval,0,2
64,135,110.9946524,-6,4.556955384,17.61523437,2.062258484,383.5800781,Resistance,0,3
82,129,103.05,2,5.694849135,19.6875,2.979241912,592.8691406,Resistance,0,3
57,132,110.9725275,8,5.660652512,19.14257812,3.1033106,561.6992187,Resistance,0,3
79,133,112.9668508,-33,6.843530723,20.57617187,4.468976605,808.8847655,Resistance,0,3
77,134,111.8232044,4,4.856412261,17.4609375,2.015150207,364.7421875,Resistance,0,3
74,126,97.56906077,-24,7.253149923,33.01171875,3.522515191,634.0527343,Resistance,0,3
74,157,116.7555556,5,3.594612489,21.46484375,0.808419169,144.7070312,Resistance,0,3
66,140,99.60220994,63,4.118329335,18.04296875,1.365417818,247.140625,Resistance,0,3
73,146,105.8555556,30,4.376738633,21.82421875,1.241493055,223.46875,Resistance,0,3
86,139,113.0994475,17,5.365145023,22.48828125,1.754823463,317.6230468,Resistance,0,3
81,135,113.4712644,1,4.680096702,20.953125,1.378703035,238.515625,Resistance,0,3
65,134,109.9012346,9,5.457406024,20.953125,1.977636719,316.421875,Resistance,0,3
66,149,108.5734597,-3,8.903585356,25.02734375,7.278487723,1528.482422,Aerobic,0,1
66,120,96.15333333,-20,9.252089751,31.0546875,9.042641044,1347.353516,Aerobic,0,1
66,125,94.57615894,-5,8.97397302,26.2109375,8.975967508,1355.371094,Aerobic,0,1
68,127,100.0947867,-34,8.965011344,28.51953125,7.329161729,1546.453125,Aerobic,0,1
70,123,96.65876777,10,9.356825693,31.53515625,7.664553095,1617.220703,Aerobic,0,1
66,126,93.63157895,-2,9.404089974,30.859375,7.137939453,1084.966797,Aerobic,0,1
54,132,90.18232044,7,9.526107843,28.82421875,10.23684608,1852.86914,Interval,0,2
54,116,86.49450549,7,9.693525222,28.03125,8.462901415,1531.785156,Interval,0,2
55,129,94.91712707,-10,9.759153443,33.28710937,12.13237847,2183.828125,Interval,0,2
75,127,96.77348066,14,9.285921631,22.33007812,7.922295838,1433.935547,Interval,0,2
64,155,109.2375691,14,9.716900016,25.6953125,10.39282769,1870.708984,Interval,0,2
56,106,82.95027624,1,9.187451917,28.51953125,9.522207354,1723.519531,Interval,0,2
61,131,106.1117647,13,4.898942498,17.51953125,2.018910845,343.2148437,Resistance,0,3
56,120,90.51871658,13,4.748291056,20.17382812,1.522513441,283.1875,Resistance,0,3
72,122,102.5690608,18,5.588243363,20.38671875,2.629974533,476.0253906,Resistance,0,3
69,137,102.8021978,11,5.594207551,22.2578125,2.672511654,483.7246093,Resistance,0,3
57,71,63,10,0,0,0,0,Resistance,0,3
67,132,101.2857143,20,8.458246966,24.609375,11.43177279,1520.425781,Interval,0,2
57,125,99.7593985,-5,8.84488228,29.68359375,7.427572838,987.8671874,Interval,0,2
63,136,95.58333333,29,8.798395422,25.5234375,10.85214844,1410.779297,Interval,0,2
65,132,99.52985075,-3,8.397515047,22.40234375,12.61883454,1690.923828,Interval,0,2
67,120,90.85714286,-2,8.956189359,22.1484375,10.64232658,1404.787109,Interval,0,2
65,138,104.2330827,23,8.502965701,25.22460937,8.680782433,1145.863281,Interval,0,2
99,159,127.2541436,24,7.88691974,24.296875,7.615806284,1378.460937,Aerobic,0,1
61,152,117.5934066,-7,8.138826777,26.3671875,6.124871222,1114.726562,Aerobic,0,1
86,152,125.404878,37,8.416053265,21.234375,6.099056783,1250.30664,Aerobic,0,1
84,149,120.7111111,-36,7.574068027,24.26367187,6.763726431,1210.707031,Aerobic,0,1
